Pitcher_ID,Throwing_Hand,Throw_Cutter,Throw_Sinker,Count_Pitches,Max_Velocity,Max_Break,Diff_Velocity,Diff_Spin,Sim,Strikeout_Rate
26,Right,No,No,5,94.507,10.795,14.749,1341.02,0.54543833,8.59
27,Right,No,No,3,91.074,8.407,6.605,1318.73,0.52145452,10.16
28,Right,Yes,No,4,90.765,10.106,12.074,1171.45,0.52759201,7.01
29,Left,No,No,6,92.364,11.54,12.832,1342.68,0.64597292,6.22
30,Right,No,No,2,93.225,10.169,9.83,1261.79,0.58193614,8.14
31,Right,No,No,5,91.722,13.062,14.594,996.95,0.94854386,8.21
32,Left,No,No,5,93.354,11.406,13.004,1116.07,0.55931749,7.96
33,Right,Yes,Yes,3,93.523,11.796,14.124,1244.6,0.38328601,10.17
34,Right,No,No,4,91.446,11.005,11.309,1141.62,0.59053441,7.13
35,Right,No,No,4,93.592,11.746,14.407,1184.78,0.73033429,8.22
36,Right,No,No,4,92.371,10.825,14.349,1407.97,0.78272778,10.65
37,Right,No,No,3,95.688,10.945,12.129,1388.46,0.87922169,11.72
38,Right,Yes,No,3,93.081,13.205,14.919,735.204,0.99044476,8.8
39,Right,No,No,3,91.397,11.663,13.989,2060.66,0.10582017,7.77
40,Left,No,No,4,94.223,10.432,10.714,1310.86,0.15200343,8.65
41,Right,Yes,Yes,2,90.77,11.599,9.878,1439.69,0.96439808,7.62
42,Right,Yes,No,4,93.112,8.631,8.272,1739.28,0.89739193,8.75
43,Left,No,No,5,93.641,10.568,12.612,1417.12,0.53241377,6.31
44,Left,No,No,2,90.645,10.092,11.083,1059.45,0.64104131,7.99
45,Right,Yes,Yes,3,94.327,13.089,15.626,528.857,0.90220325,7.75
46,Right,No,No,3,92.596,9.534,9.776,1133.94,0.80337068,9.3
47,Right,No,No,4,92.459,11.18,12.256,1394.59,0.90699038,9.27
48,Right,Yes,Yes,3,94.614,9.954,10.409,1130.45,0.42939209,7.71
49,Right,No,No,5,93.527,10.218,11.528,1473.35,0.16356715,6.87
50,Right,No,No,3,93.655,10.636,10.936,991.405,0.03011554,9.14
51,Right,No,No,4,91.433,11.04,11.949,1481.57,0.89864509,7.43
52,Right,No,No,4,91.958,9.696,8.703,719.442,0.70334553,6.7
53,Right,No,Yes,4,94.86,11.311,13.07,1148.89,0.41061204,8.37
54,Left,No,No,5,92.481,11.131,12.193,1051.39,0.78493895,8.82
55,Right,No,No,4,92.501,12.073,13.786,1053.96,0.81103856,6.89
56,Left,No,No,4,94.025,11.702,12.094,724.82,0.3186873,9.03
57,Right,No,No,3,90.365,11.586,14.462,1311.73,0.45806076,7.45
58,Right,No,No,5,93.02,10.832,13.466,1665.15,0.26662807,7.37
59,Right,No,No,4,93.107,11.114,13.111,1473.87,0.24534307,8.27
60,Right,No,No,3,94.644,10.08,10.15,1780.03,0.01787246,8.69
61,Left,No,No,4,91.651,12.914,14.472,741.265,0.74199279,8.41
62,Right,No,No,3,91.058,11.765,11.931,1011.48,0.86718969,6.95
63,Right,No,No,4,92.997,11.707,13.344,686.805,0.3497636,10.03
64,Right,No,No,3,92.004,11.638,11.327,1291.3,0.96009996,7.28
65,Right,No,No,4,94.175,10.577,13.795,1116.39,0.75101533,8.24
66,Right,No,No,4,95.429,9.946,13.234,1513.8,0.00642064,10.17
67,Right,No,No,3,92.092,12.189,12.855,1278.21,0.04819082,8.87
68,Right,Yes,No,3,92.033,11.679,13.969,1457.44,0.22390358,8.81
69,Right,Yes,Yes,3,98.868,9.838,11.981,1280.48,0.39480203,12.35
70,Right,Yes,Yes,2,92.69,10.995,10.398,1242.28,0.32239367,9.36
71,Right,No,No,5,91.705,13.285,14.436,844.497,0.91690011,5.71
72,Right,Yes,No,2,93.066,9.973,9.137,947.441,0.72876787,11.06
73,Right,No,No,4,91.889,11.076,12.37,1751.75,0.0372807,7.58
74,Right,Yes,No,3,94.539,10.179,10.857,1322.91,0.35718961,9.45
75,Left,No,No,4,91.811,10.33,11.155,1043.22,0.9166011,8
76,Right,No,No,4,89.461,12.821,15.431,566.741,0.92039461,6.01
77,Right,No,No,4,90.653,9.69,8.913,1284.25,0.18389587,7.22
78,Right,No,No,3,93.578,11.36,11.348,1133.53,0.20667452,10.17
79,Left,No,No,4,90.283,9.777,8.665,1323.66,0.10341865,6.71
80,Left,No,No,6,88.712,13.686,17.264,1227.42,0.12690005,4.69
81,Right,Yes,Yes,4,90.732,12.283,14.245,1053.27,0.44522671,7.52
82,Right,Yes,No,4,91.261,12.245,14.547,1383.52,0.78184815,7.79
83,Left,No,No,4,93.382,11.129,12.861,1085.39,0.80044023,7.63
84,Right,Yes,No,2,92.373,8.978,8.214,1692.45,0.35605057,10.78
85,Right,No,No,3,92.926,9.664,9.822,1270.37,0.98559544,9.36
86,Right,Yes,No,3,88.994,11.939,13.452,1242.25,0.91787774,7.37
87,Right,No,No,3,95.141,9.596,13.224,1286,0.67789768,7.16
88,Left,No,No,4,89.781,12.579,15.214,335.426,0.1706486,7.73
89,Left,No,No,4,93.211,10.289,12.091,1116.65,0.85837669,8.34
90,Right,No,No,5,89.744,12.463,15.428,1423.92,0.17015043,5.61
91,Right,No,No,2,93.857,9.905,9.763,809.351,0.68160774,10.23
92,Right,No,No,3,92.773,9.867,11.716,1303.84,0.85298744,9.31
93,Left,No,No,5,91.985,9.449,14.04,1661.14,0.16472157,6.56
94,Right,No,Yes,2,92.378,9.794,12.301,1053.13,0.66653618,12.15
95,Right,No,No,2,92.928,12.409,15.01,867.101,0.17777073,9.02
96,Right,No,No,4,94.296,11.67,15.241,1011.34,0.3158025,10.08
97,Right,No,No,5,89.981,11.254,14.215,1522.68,0.77375199,6.94
98,Left,No,No,4,90.755,11.268,11.14,1090.06,0.04220776,8.47
99,Right,No,No,3,93.838,8.856,9.454,1528.91,0.65308254,10.97
100,Right,No,No,4,93.183,12.291,15.842,1221.98,0.91711687,9.26
101,Left,No,No,4,91.259,10.378,12.536,1314.99,0.74285926,7.07
102,Right,No,No,4,94.283,10.019,9.618,1415.05,0.94958961,8.65
103,Left,Yes,No,4,93.551,10.951,10.274,1061.98,0.80814478,7.84
104,Right,No,No,4,92.568,12.697,15.216,1540.24,0.54266019,6.89
105,Right,No,Yes,4,93.168,11.764,15.313,1578.82,0.15559488,5.87
106,Right,No,No,3,94.429,11.35,15.204,1241.87,0.58404135,8.63
107,Right,No,No,4,92.972,11.376,13.241,1109.84,0.96317617,8.29
108,Right,Yes,No,4,92.437,12.872,15.968,1182.83,0.23896892,6.05
109,Right,No,No,3,95.317,11.861,15.251,1296.95,0.69121385,9.43
110,Right,No,No,3,89.562,11.231,10.384,999.695,0.42503156,7.93
111,Right,Yes,Yes,3,93.515,9.919,12.319,1552.52,0.20360205,7.63
112,Right,Yes,No,4,94.23,10.799,13.15,1332.64,0.14841209,8.6
113,Right,No,No,5,93.067,11.936,13.761,1466.77,0.58440398,7.43
114,Right,Yes,Yes,2,93.411,11.985,14.258,1054.82,0.15720971,9.18
115,Right,No,Yes,3,94.433,12.06,16.153,1536.6,0.36149546,8.5
116,Right,Yes,Yes,3,95.905,11.183,14.831,1207.81,0.67191653,11.58
117,Right,No,No,3,94.543,10.45,12.53,1076.75,0.4937416,6.59
118,Left,No,No,5,92.048,13.392,16.404,745.492,0.60074046,8.35
119,Right,No,No,5,93.784,12.11,12.79,1605.85,0.06812489,7.64
120,Right,No,No,2,94.118,7.689,5.855,1267.65,0.89508643,9.85
121,Right,No,Yes,2,93.939,11.263,13.088,1117.22,0.39634897,10.94
122,Right,Yes,Yes,2,95.673,11.42,12.303,1515.74,0.09204835,11.82
123,Right,Yes,No,2,90.681,8.68,12.057,1488.11,0.04855672,6.83
124,Right,No,No,4,92.745,9.749,10.726,1159.06,0.40020505,7.27
125,Right,No,No,4,92.975,12.694,16.88,1183.05,0.62101842,9.03
126,Right,No,No,3,90.819,11.835,11.814,978.259,0.56119404,7.1
127,Right,No,No,5,90.794,14.183,17.841,1176.48,0.28315064,6.3
128,Right,No,No,4,91.057,11.278,12.279,1058.07,0.53622688,8.36
129,Right,No,Yes,3,94.094,9.185,12.733,1383.34,0.38848566,8.74
130,Right,Yes,No,3,92.943,9.572,9.691,1262.07,0.93468416,9.95
131,Right,Yes,Yes,3,94.126,12.393,12.594,1061.06,0.55980935,9.1
132,Left,No,No,3,91.768,11.58,12.277,1040.82,0.30182291,7.81
133,Right,No,No,5,93.208,9.704,10.622,1461.01,0.75960284,8.1
134,Right,No,No,2,94.08,10.85,10.526,1436.87,0.21192055,10.49
135,Right,No,No,3,92.776,9.886,11.483,1002.66,0.82378159,8.57
136,Left,No,No,2,93.286,9.938,10.389,897.546,0.1946629,10.67
137,Left,No,No,5,88.096,11.539,11.891,1281.96,0.40646312,7.68
138,Right,Yes,No,3,94.831,12.821,17.071,1246.18,0.59257019,10.86
139,Right,No,No,2,92.094,10.485,8.106,1402.97,0.72743844,10.89
140,Right,No,Yes,5,91.356,13.542,16.368,1318.28,0.22557737,6.34
141,Right,Yes,Yes,3,92.233,11.688,11.257,951,0.61708505,9.91
142,Left,No,No,5,91.069,11.543,13.731,1370.59,0.13435732,8.8
143,Left,No,No,3,95.009,8.27,7.101,819.515,0.71293049,10.08
144,Right,No,No,5,93.88,12.496,16.774,1256.05,0.91000458,9.72
145,Right,No,No,2,95.64,10.706,11.994,1167.24,0.02209751,9.25
146,Right,No,No,5,93.128,10.96,11.992,1463.57,0.82908746,7.72
147,Right,No,No,5,92.536,14.103,15.421,821.884,0.68816047,6.78
148,Right,No,No,4,92.695,10.049,14.296,1281.72,0.13509954,8.32
149,Right,No,No,3,91.968,9.5,9.381,1499.13,0.40501417,9.27
150,Right,Yes,No,3,93.051,11.647,15.113,1769.22,0.82264682,10.11
151,Right,No,No,3,91.632,9.758,10.889,1489.9,0.08757354,9.5
152,Left,No,No,4,93.807,11.301,12.768,965.694,0.88447786,7.34
153,Right,No,No,5,95.087,11.193,15.002,1380.93,0.08317424,5.54
154,Left,No,No,4,94.824,10.631,13.324,1245.13,0.18862221,6.99
155,Left,No,No,5,93.277,10.976,13.47,1403.13,0.19847246,7.09
156,Right,No,No,4,91.939,11.101,13.918,1127.28,0.41070681,8.42
157,Right,No,No,3,93.29,10.329,14.088,1624.09,0.5727947,10.05
158,Left,No,No,4,92.356,13.211,15.68,1033.22,0.57284105,9.81
159,Left,No,No,4,94.655,9.575,10.102,1337.18,0.82650948,8.95
160,Right,No,No,4,92.903,12.277,13.178,1001.9,0.96470523,7.78
161,Left,No,No,4,94.91,11.267,13.383,1122.98,0.15967996,7.52
162,Left,No,No,3,92.908,11.057,10.045,801.943,0.09637092,9.07
163,Left,No,No,5,94.755,11.449,12.423,964.409,0.40378803,8.56
164,Right,No,No,4,91.455,9.934,8.413,1443.93,0.75549931,7.74
165,Left,No,No,4,91.946,11.788,15.025,975.334,0.9316345,8.1
166,Left,No,No,5,90.297,12.585,15.843,956.379,0.2367534,6.63
167,Right,Yes,Yes,4,94.596,10.016,12.921,1666.52,0.61514543,9.75
168,Right,Yes,No,3,92.251,11.618,13.162,1145.7,0.20139702,9.11
169,Right,No,No,3,93.757,10.693,12.76,1346.97,0.92986599,7.24
170,Right,No,No,4,90.632,9.756,8.482,1173.36,0.23378614,9
171,Right,Yes,No,3,92.529,12.566,13.998,1084.33,0.5901677,10.66
172,Left,No,No,6,94.014,11.443,13.71,1229.07,0.93058032,6.43
173,Right,No,No,6,90.06,12.048,12.952,752.213,0.78664528,5.59
174,Left,No,No,5,92.851,11.944,12.767,1068.67,0.82560803,7.66
175,Right,Yes,Yes,3,93.579,12.649,16.365,905.927,0.1176212,8.74
176,Right,No,Yes,5,92.916,11.118,13.567,1174.67,0.8225205,7.79
177,Right,No,No,5,94.723,11.641,15.59,1401.33,0.27271447,6
178,Left,No,No,4,93.855,9.978,8.846,1051.69,0.68819077,8.35
179,Left,No,No,4,93.291,9.57,8.592,1510.27,0.13618501,8.43
180,Right,No,No,4,89.749,11.134,10.542,968.438,0.34117251,7.25
181,Right,No,No,2,92.993,8.948,5.983,1028.74,0.27798656,9.55
182,Right,Yes,Yes,2,94.692,8.799,11.672,1658.13,0.61484342,10.07
183,Left,No,No,5,90.984,11.717,13.599,1389,0.67360027,5.4
184,Left,No,No,5,93.597,10.573,12.237,1118.87,0.50334939,6.2
185,Left,Yes,No,3,95.302,8.101,10.015,1397.04,0.38599439,7.96
186,Right,No,No,3,94.09,11.73,13.653,1632.86,0.62467774,9.32
187,Right,No,No,5,92.442,10.492,13.274,1713.91,0.35727401,7.62
188,Left,No,No,3,93.175,12.308,14.185,1403.88,0.60376683,10.14
189,Right,No,No,2,91.964,10.255,9.119,1333.42,0.84244211,10.27
190,Right,Yes,No,3,89.628,11.619,11.037,1013.66,0.37878135,9.42
191,Right,No,No,3,92.857,8.494,8.44,1139.14,0.0831098,8.48
192,Left,No,No,4,92.72,10.742,12.824,926.584,0.66974577,7.88
193,Right,No,No,4,93.255,11.061,12.444,888.852,0.57123951,8.35
194,Right,No,No,3,92.813,8.87,9.287,1513.64,0.75250232,8.12
195,Left,No,No,4,96.432,9.778,11.839,889.609,0.42396629,6.58
196,Left,No,No,5,93.529,10.373,10.208,1000.42,0.35680478,5.71
197,Right,No,No,5,94.03,11.752,11.556,1388.12,0.99580548,7.91
198,Right,No,No,5,92.103,11.147,12.944,1342.68,0.82609507,5.42
199,Right,Yes,No,4,91.392,10.708,11.815,1045.68,0.01105115,10.17
200,Right,Yes,No,2,94.357,9.912,13.13,1578.5,0.34420636,9.34
201,Right,No,No,3,91.776,12.109,14.628,1230.4,0.33890178,8.85
202,Right,Yes,Yes,5,94.279,13.216,17.108,1387.47,0.56135025,8.94
203,Right,No,No,5,92.135,9.654,11.093,1658.66,0.91885313,6.71
204,Left,No,No,5,94.882,12.783,14.252,1290.19,0.33936187,8.09
205,Left,No,No,5,93.449,11.922,15.681,1292.64,0.88267823,8.82
206,Right,Yes,No,2,94.682,10.29,12.8,1114.84,0.93171152,9.47
207,Right,Yes,No,2,92.09,11.279,12.445,1350.16,0.64306636,11.16
208,Left,No,No,5,91.19,10.274,10.13,1312.37,0.2096683,6.69
209,Right,No,No,5,96.152,12.068,16.349,1725.57,0.40954193,9.47
210,Right,No,No,3,91.395,10.049,10.348,1130.3,0.47533648,8.51
211,Right,No,No,3,93.945,9.399,8.59,1146.4,0.95675339,8.84
212,Right,No,No,2,93.633,9.62,10.025,1096.01,0.82853013,9.64
213,Right,No,No,6,89.585,12.952,12.278,759.64,0.97336062,3.16
214,Right,No,Yes,2,93.943,9.978,11.129,1452.71,0.6681556,10.24
215,Right,No,No,5,91.667,10.736,10.181,1177.3,0.20224432,6.54
216,Right,No,No,6,91.26,10.979,15.451,1451.57,0.89715624,7.37
217,Right,Yes,No,3,92.55,10.503,12.353,1010.13,0.90512432,9.54
218,Right,Yes,No,4,93.958,10.509,13.392,1207.41,0.85375225,11.78
219,Right,No,No,3,92.538,7.941,7.864,968.971,0.1300474,7.99
220,Left,No,No,3,92.677,12.286,14.045,1081.83,0.72548862,8.98
221,Right,No,No,3,91.041,10.886,8.956,1547.66,0.05089561,8.16
222,Right,No,No,4,92.42,9.539,10.964,1362.94,0.61588762,9.58
223,Right,Yes,Yes,3,90.819,10.819,10.312,815.935,0.85066973,7.49
224,Right,No,No,3,94.582,12.674,15.228,1407.11,0.97845413,8.61
225,Right,No,No,2,94.697,9.839,10.991,1320.69,0.19518745,10.62
226,Right,No,Yes,3,92.534,11.977,12.73,1449.99,0.57999968,10.62
227,Right,Yes,Yes,4,95.654,11.556,14.161,1319.33,0.53460219,9.83
228,Right,Yes,No,3,91.551,13.164,14.012,1062.93,0.9086093,9.26
229,Right,No,No,3,94.484,9.221,8.494,1264.92,0.96684306,6.33
230,Right,Yes,Yes,2,94.094,9.485,11.431,1248.38,0.79150076,8.8
231,Left,No,No,5,92.53,11.036,12.811,1134.51,0.44040523,7.37
232,Right,Yes,No,3,94.11,11.787,13.759,1121.12,0.83480897,8.91
233,Right,No,No,3,93.419,13.52,15.592,801.55,0.43671824,9.43
234,Right,No,No,3,94.861,9.232,12.6,1497.16,0.22557967,8.61
235,Right,No,No,5,92.066,9.991,10.768,1286.97,0.37643908,5.04
236,Right,No,No,4,91.862,9.608,6.824,1434.64,0.53734214,8.07
237,Right,No,Yes,2,94.435,9.735,10.135,953.102,0.37332734,8.97
238,Right,No,No,5,89.368,14.16,16.414,1167.16,0.83159265,8.77
239,Right,Yes,Yes,3,89.211,14.778,14.887,944.576,0.55957026,6.89
240,Left,No,No,5,92.508,10.513,12.954,1280.52,0.03719155,6.11
241,Left,No,No,3,91.581,10.979,13.634,1460.66,0.98956663,10.85
242,Right,No,No,5,91.394,13.643,16.262,935.343,0.12426039,7.78
243,Left,No,No,5,92.732,10.995,12.854,1178.25,0.39898391,9.82
244,Right,No,No,3,96.081,9.656,12.153,1308.86,0.29566923,8.46
245,Right,No,No,4,92.158,11.226,11.989,957.825,0.8433983,7.99
246,Right,Yes,Yes,3,94.753,10.775,12.869,704.129,0.30076042,10.01
247,Left,No,No,2,93.265,8.252,9.673,1287.9,0.49583824,9.29
248,Left,No,No,4,91.932,9.785,9.718,1000.94,0.58889327,8.95
249,Right,No,No,5,95.186,12.766,18.407,1633.9,0.55161385,8.97
250,Right,No,No,3,92.005,10.673,12.688,1068.46,0.08265707,7.7
251,Right,No,No,3,91.985,13.233,16.564,993.778,0.13087867,8.92
252,Right,No,No,3,92.219,11.604,12.188,1142.59,0.40606873,9.85
253,Right,No,No,3,94.051,10.934,13.919,1201.03,0.2215053,8.71
254,Left,No,No,5,92.539,13.149,16.456,1377.62,0.34152602,7.81
255,Right,No,No,2,93.32,11.342,14.103,1356.78,0.03352669,12.01
256,Right,No,No,4,92.516,10.713,12.376,1207.12,0.52474956,6.47
257,Left,No,No,5,90.015,13.616,15.75,1090.94,0.77045678,7.39
258,Left,No,No,4,94,10.115,13.823,1064.32,0.61444106,9.76
259,Right,No,No,4,92.114,11.224,14.662,1696.29,0.34450752,7.73
260,Left,No,No,3,89.844,11.669,11.324,837.869,0.53924017,5.58
261,Right,No,No,2,94.847,10.286,14.128,1271.64,0.95380081,9.31
262,Right,No,Yes,3,90.885,12.129,13.724,1339.87,0.47886335,6.73
263,Left,No,No,4,94.122,10.008,12.295,839.958,0.86004073,7.29
264,Right,No,No,5,92.526,11.74,13.313,1265.42,0.86120962,6.08
265,Right,No,No,4,94.491,13.393,17.9,1292.06,0.86807322,9.07
266,Right,No,No,6,93.087,12.612,14.129,1057.6,0.59006236,6.43
267,Right,Yes,Yes,3,93.127,12.537,15.49,1344.77,0.49046647,9.28
268,Right,Yes,Yes,3,96.769,10.695,14.064,1271.65,0.40807239,9.56
269,Right,No,No,4,91.942,10.757,11.92,1511.06,0.75593686,8.23
270,Right,Yes,No,3,96.817,9.586,12.239,1198.07,0.90797421,10.55
271,Left,No,No,5,89.637,11.739,13.319,1233.77,0.36844811,6.85
272,Right,No,No,3,90.265,9.99,10.129,1456.33,0.18248646,8.76
273,Left,No,No,3,92.844,11.986,11.158,718.274,0.94639062,9.98
274,Left,No,No,4,94.614,11.451,12.325,1028.46,0.427491,8.12
275,Right,No,No,3,90.064,11.383,12.281,1082.67,0.19720194,9.47
276,Left,No,No,5,89.866,10.672,11.272,926.687,0.63235966,8.02
277,Right,No,No,5,89.471,13.788,13.907,514.677,0.93336927,4.3
278,Right,Yes,No,2,94.783,10.067,11.205,1579.49,0.12447432,9.33
279,Left,Yes,No,2,94.717,9.468,9.439,1338.25,0.20537726,9.14
280,Right,No,No,2,96.597,8.466,11.764,1237.04,0.50907307,9.54
281,Left,No,No,4,94.59,8.081,7.471,1162.99,0.70343973,9.32
282,Right,No,No,4,90.169,8.707,9.535,1561.46,0.18507915,6.91
283,Right,No,No,3,93.613,10.251,11.543,1237.36,0.33883983,8.99
284,Right,Yes,Yes,2,91.996,10.408,10.071,1044.85,0.62149785,10.99
285,Right,No,No,3,90.064,12.966,13.891,1188.78,0.81703567,8.55
286,Right,No,No,5,90.885,13.564,17.403,1401.54,0.51938421,7.83
287,Left,No,No,5,94.264,11.652,14.644,1177.89,0.00834137,7.08
288,Right,No,No,3,91.818,9.303,9.892,1204.43,0.19368384,7.46
289,Right,No,Yes,5,91.709,13.306,14.018,973.965,0.86566865,5.45
290,Right,No,No,3,91.178,12.593,15.268,785.04,0.98799206,7.46
291,Right,No,No,3,97.205,8.542,10.654,1552.36,0.0494058,9.9
292,Right,No,No,4,97.217,8.65,12.455,1183.72,0.30657071,8.23
293,Right,Yes,Yes,3,95.022,10.182,13.029,947.989,0.88642164,7.84
294,Right,No,No,6,91.659,12.337,14.218,1077.58,0.92568059,6.7
295,Right,No,No,4,94.51,13.9,19.061,1273.63,0.30107834,7.93
296,Right,No,No,5,95.086,12.244,14.849,1548.33,0.90556905,7.63
297,Right,No,No,5,92.172,11.479,13.542,1464.88,0.43977476,9.33
298,Right,No,No,4,89.086,11.183,11.655,861.839,0.89755177,7.44
299,Right,No,No,5,95.039,8.157,8.606,1414.49,0.26987536,7.84
300,Right,No,No,4,90.153,13.366,16.134,1106.19,0.67506442,6.56
301,Right,Yes,Yes,2,90.43,12.252,14.146,1456.34,0.52837032,10.09
302,Right,No,No,4,91.047,12.87,13.907,821.511,0.62192838,7.39
303,Right,No,No,4,91.663,12.179,10.662,1305.81,0.48739441,7.86
304,Right,No,No,4,92.936,12.387,13.408,1657.76,0.29581047,7.95
305,Right,No,No,2,94.103,8.735,9.865,1442.39,0.74673846,9.75
306,Left,No,No,4,91.292,12.362,14.905,822.039,0.14259171,8.23
307,Right,No,No,5,93.641,9.646,11.737,1455.96,0.33605175,7.59
308,Right,No,No,4,89.057,12.311,10.443,990.15,0.28732272,7.79
309,Right,No,No,3,91.728,11.366,11.95,1017.67,0.33597068,11.22
310,Left,No,No,5,93.932,11.095,14.287,1045.38,0.77395229,7.43
311,Right,Yes,Yes,3,93.48,13.024,16.874,853.591,0.18307176,9.46
312,Right,Yes,No,3,94.359,12.212,13.252,1310.33,0.54695212,9.54
313,Right,Yes,Yes,3,92.186,9.931,10.507,1214.89,0.53963142,7.52
314,Left,No,No,5,94.481,13.353,14.327,1197.15,0.88214484,8.42
315,Right,No,No,3,92.77,11.232,13.651,1651.68,0.98214661,8.43
316,Right,No,No,4,91.028,11.882,13.235,1291.67,0.88457072,6.4
317,Right,Yes,No,3,96.873,10.951,14.642,1026.98,0.78614334,10.03
318,Right,No,No,4,95.701,11.057,11.245,1413.62,0.16696097,10.2
319,Right,Yes,No,2,95.183,9.749,11.34,961.428,0.43099118,11.27
320,Right,No,No,3,90.792,10.275,11.243,1863.27,0.27262674,6.97
321,Right,No,No,5,92.765,13.233,17.899,1013.53,0.76238467,7.46
322,Right,No,No,3,95.696,9.491,11.782,1380.51,0.61645644,8.52
323,Right,Yes,No,3,92.959,11.191,12.856,1349.21,0.20306528,9.03
324,Left,No,No,4,93.488,10.428,11.196,1320.59,0.33342506,7.34
325,Right,No,No,4,94.146,9.66,11.211,1795.79,0.19265175,7.74
326,Left,No,No,3,90.45,10.556,10.934,912.213,0.81372591,5.28
327,Left,No,No,6,91.675,14.116,16.898,1092.9,0.85696444,6.31
328,Right,Yes,Yes,4,91.951,13.892,17.988,1138.06,0.88009863,6.95
329,Right,Yes,Yes,3,93.872,10.071,11.023,1267.82,0.02137917,10.98
330,Right,No,No,3,93.045,11.395,12.635,1387.39,0.82673156,7.62
331,Right,No,No,4,91.182,10.205,11.292,1228.49,0.22855525,7.77
332,Right,Yes,No,2,95.859,10.24,13.165,1225.59,0.73263756,10.68
333,Right,No,Yes,4,90.668,10.315,10.305,1099.35,0.40988286,10.14
334,Right,Yes,No,4,92.48,11.914,13.25,1050.24,0.08404507,9.89
335,Left,No,No,2,93.008,10.787,10.677,973.891,0.26173822,9.41
336,Right,No,No,2,92.373,9.972,9.951,1141.68,0.23502097,10.61
337,Right,Yes,Yes,2,91.57,9.813,10.085,1182.75,0.94284459,11.3
338,Right,No,No,3,96.431,7.461,9.28,1926.9,0.15363017,11.75
339,Right,No,No,3,94.028,14.06,15.799,1116.57,0.20770848,9.96
340,Right,No,No,5,90.928,11.418,11.471,1068.17,0.87636553,6.05
341,Right,No,No,4,94.151,11.933,16.14,1463.23,0.70862548,8.25
342,Right,No,No,3,92.773,9.674,8.729,1278.32,0.14649804,8.53
343,Left,No,No,3,94.228,8.918,8.164,1438.88,0.35275982,7.29
344,Right,Yes,Yes,3,92.213,11.183,10.43,1326.39,0.61172885,8.72
345,Right,No,No,4,91.748,12.833,14.022,1254.56,0.93496562,7.37
346,Right,No,No,3,94.321,11.195,13.175,973.332,0.5413948,8.71
347,Right,No,No,5,92.17,11.696,13.563,1209.3,0.41186595,6.9
348,Right,No,No,3,93.401,9.383,12.041,1329.56,0.67852962,10.05
349,Right,No,No,4,92.757,10.189,10.696,1586.84,0.73659053,7.23
350,Left,No,No,5,93.02,12.925,16.353,1294.5,0.12695442,7.27
351,Left,No,No,4,90.627,11.344,12.322,1299.82,0.32129597,8.4
352,Right,No,No,4,94.322,9.056,9.813,1619.03,0.11693378,6.83
353,Right,Yes,Yes,2,95.454,10.192,12.567,759.625,0.13798039,9.94
354,Left,No,No,4,92.941,10.806,12.06,1247.22,0.73628135,7.11
355,Right,No,Yes,4,93.621,10.294,12.256,1511.24,0.94920221,6.65
356,Right,No,No,4,92.442,9.557,11.558,1583.13,0.5953669,6.88
357,Right,Yes,No,3,91.945,9.157,8.973,1495.01,0.47927979,7.43
358,Left,No,No,5,91.587,13.003,15.506,1076.42,0.7220736,6.6
