Item_ID,Item_Weight,Low_Fat_Content,Item_Visibility,Drink,Max_Retail_Price,Store_Built,Large_Size_Store,Item_Sales,sim
67,11.7,Yes,0.04,No,11.35,2009,Yes,1141.847,0.83
68,8.6,No,0.04,No,9.51,2004,No,3036.048,0.77
69,17.7,Yes,0.012,No,4.75,2004,No,868.869,0.078
70,14.2,Yes,0.184,Yes,4.12,1997,No,1137.1864,0.174
71,8.9,Yes,0.087,Yes,7.59,1987,Yes,762.341,0.106
72,13.5,Yes,0.073,No,8.01,1997,No,1438.128,0.164
73,7.9,Yes,0.011,No,9.43,2009,Yes,952.094,0.406
74,7.2,Yes,0.077,No,5.8,1997,No,1969.4364,0.947
75,8,Yes,0.02,No,7.73,2004,No,1402.1748,0.894
76,16.6,Yes,0.028,No,8.88,1999,Yes,2676.516,0.748
77,14,No,0,No,2.65,2004,No,905.488,0.963
78,18.6,Yes,0.039,No,12.32,1999,Yes,7370.406,0.391
79,16,Yes,0.061,No,11.34,2004,No,6301.1312,0.539
80,17.6,Yes,0.082,No,8.03,2004,No,1597.92,0.264
81,21.3,Yes,0.155,No,8.91,2004,No,529.311,0.097
82,7.2,Yes,0.077,No,5.88,2004,No,1969.4364,0.445
83,13.9,No,0.026,No,8.08,2009,Yes,1794.331,0.229
84,13.7,No,0.073,No,9.88,2009,Yes,2768.3964,0.522
85,7.4,Yes,0.043,No,11.31,1997,No,3169.208,0.136
86,18.4,Yes,0.014,No,11.18,2009,Yes,3589.9936,0.256
87,5.5,No,0,No,6.63,2009,Yes,262.3252,0.619
88,14,No,0.06,No,7.73,1987,Yes,2471.4496,0.602
89,14,No,0.042,No,2.74,1987,Yes,1331.6,0.465
90,5.9,Yes,0.046,No,11.13,2009,Yes,3315.684,0.811
91,7.3,Yes,0.071,Yes,5.71,1997,No,2618.5914,0.374
92,6.2,No,0.095,No,10.73,1997,No,2769.728,0.339
93,12.2,No,0.042,No,6.25,2009,Yes,1743.0644,0.836
94,12.6,Yes,0.049,No,3.1,2009,Yes,619.194,0.552
95,14.5,Yes,0.019,No,8.24,2004,No,2120.573,0.801
96,11.8,No,0.057,No,7.57,1987,Yes,1360.2294,0.468
97,13.1,No,0.044,No,8.94,1987,Yes,3969.4996,0.733
98,5.8,No,0.075,No,5.64,1987,Yes,1374.2112,0.197
99,11.4,No,0.045,No,5,2009,No,1012.016,0.598
100,14,Yes,0.029,No,6.52,1999,Yes,778.986,0.721
101,6.5,Yes,0.09,No,4.25,1999,Yes,2233.0932,0.643
102,10.3,Yes,0.146,No,5.2,1999,Yes,1661.8368,0.616
103,5.8,No,0.074,No,13.24,1999,No,4745.8224,0.914
104,16.4,Yes,0.021,No,2.51,2009,Yes,467.3916,0.389
105,10.5,Yes,0.041,No,1.88,1997,No,540.6296,0.377
106,19,No,0.097,No,2.4,1997,No,992.7078,0.343
107,14.6,Yes,0.06,No,11.94,1999,Yes,6008.845,0.108
108,5.3,No,0.042,No,8.09,2004,No,3275.736,0.689
109,15.1,Yes,0.052,No,12.14,1997,No,4119.9704,0.343
110,13.7,Yes,0.066,No,2.29,1999,Yes,780.9834,0.556
111,9.5,Yes,0.042,Yes,1.65,2004,No,133.16,0.1
112,13.8,Yes,0.058,No,12.26,2004,No,5650.6446,0.508
113,17.2,Yes,0.156,No,8.03,1987,Yes,3690.5294,0.639
114,6.3,Yes,0,No,2.01,2004,No,1139.1838,0.174
115,4.9,No,0.134,No,2.65,1999,Yes,1995.4026,0.875
116,15.9,No,0.11,No,1.86,1997,No,265.6542,0.734
117,12.7,Yes,0.063,Yes,8.08,1987,Yes,2406.867,0.662
118,20.8,Yes,0.024,No,6.21,1987,Yes,2956.152,0.735
119,9,Yes,0,No,3.99,2004,No,1649.8524,0.449
120,7.6,Yes,0.027,No,7.62,2004,No,2603.278,0.49
121,13,Yes,0.099,No,2.27,1997,No,605.878,0.667
122,12.3,No,0.065,No,4.65,1987,Yes,1929.4884,0.257
123,18.9,Yes,0.052,No,9.61,2004,No,3248.4382,0.424
124,14.1,Yes,0.088,No,11.45,2004,No,3225.1352,0.864
125,7.9,Yes,0.01,No,12.45,2004,No,3755.112,0.701
126,12,Yes,0.034,No,8.97,1987,Yes,3440.8544,0.88
127,12.2,No,0.058,No,8.17,2004,No,974.7312,0.524
128,10.1,Yes,0.027,No,3.77,1999,Yes,535.969,0.573
129,17.1,Yes,0.129,No,5.62,2009,Yes,1779.0176,0.297
130,7.8,Yes,0.089,No,3.07,1999,Yes,759.012,0.568
131,11.8,No,0.094,No,6.3,1987,Yes,1877.556,0.7
132,8.6,Yes,0.143,No,4.82,1987,Yes,193.082,0.277
133,12.8,No,0.024,No,11.3,1987,Yes,4950.8888,0.385
134,7.6,Yes,0.061,Yes,4.77,2004,No,1418.154,0.964
135,16.4,Yes,0.09,No,9.76,1987,Yes,2553.343,0.483
136,17.6,Yes,0.056,No,2.17,1987,Yes,1006.6896,0.587
137,8,Yes,0.015,No,4.26,1987,Yes,1081.925,0.454
138,15.7,Yes,0.045,No,8.93,1987,Yes,2516.724,0.738
139,9,No,0.058,No,6.44,1997,No,1428.141,0.659
140,20.4,Yes,0.089,No,13.01,1987,Yes,2093.2752,0.571
141,6.6,Yes,0.106,No,4.28,1987,Yes,1929.4884,0.433
142,19.9,Yes,0.005,No,13.2,2004,No,5829.7448,0.654
143,16.9,Yes,0.036,No,4.57,1997,No,2082.6224,0.554
144,16.8,Yes,0.081,No,12.82,1987,Yes,7452.9652,0.12
145,7.8,No,0.038,No,5.16,2009,No,736.3748,0.59
146,7.8,Yes,0.186,No,12.65,2004,No,6088.0752,0.913
147,6.3,No,0.01,No,7.56,2004,No,2267.049,0.609
148,13,Yes,0.1,No,2.32,2009,Yes,559.272,0.705
149,20.3,No,0.019,No,11.11,2004,No,5559.43,0.216
150,8.7,Yes,0.12,No,4.78,1999,Yes,1237.7222,0.794
151,7.1,Yes,0.059,No,7.14,2009,Yes,1869.5664,0.068
152,8.2,Yes,0.031,No,4.72,1999,Yes,925.462,0.338
153,7.1,Yes,0.007,No,2.4,2004,No,583.2408,0.709
154,6.1,Yes,0.081,No,7.07,1997,No,1418.154,0.57
155,6.2,Yes,0.046,No,4.97,1997,No,2364.9216,0.09
156,17.7,Yes,0.013,No,8.35,2004,No,5895.659,0.419
157,17.9,Yes,0.147,No,4.69,2009,Yes,1134.5232,0.581
158,7.1,Yes,0,No,4.9,2009,Yes,874.8612,0.602
159,6.4,Yes,0.03,No,4.63,1997,No,1039.9796,0.397
160,19.1,Yes,0.097,No,11.75,2004,No,3038.0454,0.864
161,20.3,No,0.015,No,9.68,2004,No,3848.324,0.877
162,15,No,0.054,No,2.96,1997,No,527.3136,0.783
163,6.7,No,0.123,No,4.46,1997,No,2390.8878,0.29
164,16.7,No,0.052,No,5.64,1987,Yes,801.6232,0.925
165,9.7,No,0.128,No,11.2,1999,Yes,4950.8888,0.617
166,20.9,Yes,0.021,No,5.16,1999,Yes,2404.2038,0.22
167,16.4,Yes,0.033,No,8.25,1987,Yes,994.7052,0.382
168,20.7,Yes,0.093,No,3.82,1987,Yes,306.268,0.943
169,5.5,Yes,0.047,No,5.07,1997,No,3339.6528,0.723
170,17.4,No,0.063,No,4.41,1987,Yes,539.298,0.942
171,7.3,Yes,0.031,No,8.72,1987,Yes,4377.635,0.178
172,15.9,Yes,0.108,Yes,2.98,1999,Yes,703.0848,0.967
173,6.2,Yes,0.011,No,3.32,1999,Yes,1937.478,0.857
174,19.5,Yes,0.016,No,9.11,1999,Yes,3307.6944,0.282
175,19.2,Yes,0.078,No,9.88,1999,Yes,3142.576,0.685
176,16.7,Yes,0,No,9.06,2009,Yes,2554.0088,0.503
177,20.9,No,0.057,No,5.2,2009,Yes,1869.5664,0.253
178,11.4,No,0.07,No,11.66,1987,Yes,6093.4016,0.017
179,8,Yes,0.034,Yes,8.7,1997,No,2586.633,0.14
180,7.7,No,0.067,No,2.76,1999,No,1255.6988,0.618
181,19.3,No,0.035,No,7.09,1997,No,4093.3384,0.891
182,7.1,Yes,0.058,No,7.11,1997,No,3163.8816,0.308
183,11.6,No,0.079,No,4,1997,No,1137.1864,0.29
184,12.1,Yes,0.017,Yes,8.93,2009,Yes,898.83,0.434
185,10,Yes,0.073,No,5.91,1997,No,2756.412,0.34
186,10.4,Yes,0.112,No,2.91,1999,Yes,659.142,0.841
187,8.1,Yes,0.128,No,10.57,1987,Yes,3610.6334,0.44
188,8.1,No,0.078,No,12.82,2004,No,5153.292,0.519
189,20.7,No,0.048,No,10.63,2009,Yes,1286.3256,0.924
190,9,Yes,0.065,No,8.82,2004,No,7763.228,0.18
191,6.8,No,0.042,No,2.06,1987,Yes,809.6128,0.327
192,19.5,Yes,0.083,No,8.93,2009,Yes,1253.7014,0.226
193,7.6,Yes,0.055,No,9.76,1997,No,5715.2272,0.445
194,18.2,No,0.012,No,2.89,1987,Yes,1464.76,0.984
195,16.8,Yes,0.06,No,8.49,1987,Yes,3251.1014,0.15
196,7.5,No,0,No,10.72,2004,No,4274.436,0.493
197,13.9,No,0.086,No,5.97,2009,No,2251.7356,0.321
198,6.1,No,0.103,No,6.52,1997,No,3523.4136,0.434
199,15.3,Yes,0.027,No,4.31,2004,No,610.5386,0.021
200,15.9,Yes,0,No,4.82,2004,No,1237.7222,0.31
201,20.8,Yes,0.021,Yes,7.53,1997,No,2580.6408,0.609
202,10.2,Yes,0.16,No,7.16,1997,No,2552.6772,0.946
203,18,No,0.143,No,4.43,1997,No,796.9626,0.852
204,6.6,Yes,0.106,No,4.24,1999,Yes,1677.816,0.075
205,13.8,No,0.057,No,11.5,1999,Yes,3707.1744,0.276
206,21.2,No,0.007,No,8.68,1997,No,2954.1546,0.339
207,10.5,No,0.011,No,8.32,2009,No,2652.5472,0.398
208,13.7,Yes,0.016,No,11.56,2004,No,6911.004,0.204
209,19,Yes,0.018,No,10.55,1997,No,3811.0392,0.406
210,6.9,Yes,0.057,No,10.64,1999,Yes,5770.4886,0.235
211,10.8,No,0.048,No,2.01,1997,No,690.4346,0.046
212,16.7,Yes,0.022,No,5.51,1987,Yes,1890.2062,0.734
213,15.2,Yes,0.028,No,7.51,1997,No,1504.708,0.643
214,17.6,Yes,0.008,No,8.71,2009,Yes,4311.055,0.416
215,19.4,Yes,0.033,No,8.77,1997,No,521.3214,0
216,15.7,Yes,0.161,No,2.97,1997,No,829.5868,0.816
217,10.2,No,0.018,No,11.98,2004,No,2403.538,0.917
218,20.1,No,0.022,No,11.34,1999,No,3415.554,0.168
219,20.4,No,0,No,12.84,2009,Yes,5624.6784,0.482
220,18.9,Yes,0.052,No,9.51,1999,Yes,6687.961,0.582
221,16.4,No,0.063,No,11.36,1999,No,5642.655,0.52
222,11.3,Yes,0.007,No,9.81,2009,Yes,4943.565,0.365
223,17.5,Yes,0.016,No,9.13,2009,Yes,3135.2522,0.028
224,20.3,No,0.012,No,9.23,1997,No,4997.4948,0.142
225,15.5,No,0.157,No,7.46,1999,No,588.5672,0.848
226,15.4,Yes,0.02,Yes,10.9,1987,Yes,3038.7112,0.765
227,10.1,Yes,0.055,No,10.01,1997,No,1587.2672,0.092
228,20.7,No,0.048,No,10.67,1999,Yes,1929.4884,0.7
229,16,Yes,0.061,No,11.19,1987,Yes,3600.6464,0.677
230,14,Yes,0.041,No,9.04,1997,No,2181.1608,0.847
231,12.9,Yes,0.023,No,9.07,1997,No,3428.2042,0.433
232,12.4,Yes,0.164,No,6.03,1999,Yes,2133.2232,0.68
233,6.9,Yes,0.023,No,13.08,2009,Yes,3401.5722,0.229
234,10.3,Yes,0.027,No,5.05,2004,No,1289.6546,0.19
235,8.8,Yes,0,No,2.3,1987,Yes,790.9704,0.739
236,14.9,Yes,0.093,No,7.05,2004,No,1139.8496,0.293
237,20.5,No,0.019,No,4.22,1997,No,1816.3024,0.082
238,7.8,No,0.154,No,2.6,2009,Yes,199.74,0.492
239,10.3,No,0.011,No,4.29,1987,Yes,2683.174,0.233
240,12.5,Yes,0.103,No,8.5,2004,No,2897.5616,0.453
241,20.3,No,0.103,No,4.66,1997,No,1957.452,0.14
242,15,Yes,0.045,No,7.02,1987,Yes,2528.7084,0.183
243,8.3,Yes,0.03,No,1.94,1987,Yes,284.2966,0.167
244,13.1,Yes,0.021,No,5.87,1997,No,1787.673,0.137
245,17.3,Yes,0.042,No,8.66,2009,Yes,4466.1864,0.619
246,5.8,Yes,0.072,No,6,2004,No,2048.6666,0.372
247,13.6,Yes,0.01,No,8.77,1987,Yes,1940.807,0.75
248,12.7,No,0.076,No,9.61,2009,Yes,1146.5076,0.347
249,15.2,No,0.012,No,6.63,1999,No,1713.7692,0.26
250,12.4,Yes,0.027,No,2.82,1997,No,810.9444,0.853
251,14.3,Yes,0.128,No,4.25,1997,No,1193.1136,0.565
252,8.7,Yes,0.12,No,4.67,2004,No,856.8846,0.666
253,9.5,No,0.011,No,9.12,1987,Yes,2940.1728,0.712
254,8.9,Yes,0.075,Yes,11.79,2004,No,3046.7008,0.366
255,18.3,Yes,0,No,9.84,1997,No,3327.6684,0.127
256,19.7,Yes,0.067,No,8.74,2004,No,2999.429,0.854
257,10.9,Yes,0.036,No,6.68,1997,No,1581.9408,0.924
258,6.7,Yes,0.088,No,6.44,2004,No,1398.8458,0.098
259,15.3,No,0.066,No,8.9,1999,No,2336.958,0.659
260,18.3,Yes,0.089,No,9.83,1987,Yes,2348.9424,0.39
261,16,No,0.099,No,4.37,2004,No,1054.6272,0.717
262,8.9,Yes,0.026,No,10.45,1999,Yes,4584.6988,0.212
263,9.2,Yes,0,No,2.18,2009,Yes,407.4696,0.667
264,11.4,No,0.043,No,10.05,2009,No,2189.8162,0.386
265,9.4,Yes,0.04,No,4.12,2004,No,2013.3792,0.728
266,5.7,Yes,0.066,No,12.93,2009,Yes,4380.2982,0.262
267,19.4,No,0.082,No,2.46,1987,Yes,729.051,0.507
268,9.8,Yes,0.014,Yes,2.33,2009,Yes,372.848,0.979
269,6.6,No,0,No,1.99,1987,Yes,303.6048,0.159
270,8.3,Yes,0.035,No,1.95,1987,Yes,721.0614,0.309
271,16.4,No,0.062,No,11.3,1997,No,5416.9488,0.132
272,8.6,Yes,0.033,No,7.03,2009,Yes,283.6308,0.966
273,12.6,No,0.063,No,5.24,1987,Yes,1960.781,0.832
274,18.1,Yes,0.178,No,7.91,1999,Yes,3299.7048,0.377
275,16.6,Yes,0,No,8.67,1997,No,2085.2856,0.462
276,6.7,Yes,0.034,No,11.1,2004,No,2210.456,0.508
277,16.6,Yes,0.027,No,2.86,1997,No,1049.9666,0.138
278,15.4,Yes,0.016,No,7.25,2004,No,2719.793,0.037
279,10,Yes,0.046,No,6.94,1987,Yes,1398.18,0.893
280,14.8,Yes,0.045,Yes,3.82,2004,No,1531.34,0.678
281,8.7,No,0.046,No,2.19,1999,Yes,633.8416,0.595
282,9.5,No,0.035,No,8.57,1999,No,2386.2272,0.812
283,11.8,No,0.077,No,1.74,2004,No,780.9834,0.249
284,14.1,Yes,0.09,No,6.99,1997,No,1693.7952,0.062
285,19.4,No,0.066,No,8.42,1997,No,1342.2528,0.053
286,8.6,Yes,0.024,Yes,5.32,2009,Yes,958.752,0.314
287,20.7,No,0.1,No,6.17,1999,No,1238.388,0.117
288,6.8,No,0.023,No,10.55,2004,No,4418.2488,0.138
289,6.6,Yes,0.066,Yes,12.99,1987,Yes,2863.6058,0.021
290,6.9,No,0.131,No,4.66,1999,Yes,1561.9668,0.853
291,20.3,No,0.015,No,9.71,1999,Yes,3848.324,0.146
292,16.5,Yes,0.036,No,4.63,2009,Yes,559.272,0.486
293,8.7,Yes,0.009,No,4.99,2009,Yes,295.6152,0.998
294,7.2,Yes,0.058,No,5.76,2009,Yes,1267.0174,0.95
295,16.8,No,0,Yes,1.97,1997,No,353.5398,0.894
296,15.4,Yes,0.073,Yes,4.61,2004,No,1118.544,0.898
297,10.8,Yes,0.05,No,12.3,1987,Yes,4655.2736,0.938
298,6.3,Yes,0.031,No,5.51,1999,Yes,1547.3192,0.266
299,5.6,No,0.025,No,5.27,1999,No,1045.306,0.832
300,12.2,Yes,0.016,No,10.6,2009,Yes,2735.1064,0.457
301,9.2,Yes,0.108,No,9.14,1997,No,3817.0314,0.193
302,19,Yes,0.128,No,5.22,2004,No,1905.5196,0.327
303,9.8,Yes,0.09,No,9.61,1987,Yes,2324.9736,0.734
304,18.9,Yes,0.052,No,9.46,1997,No,2101.9306,0.901
305,17.1,Yes,0.067,No,5.73,2004,No,2942.836,0.141
306,6.7,No,0.121,No,2.01,1987,Yes,587.2356,0.432
307,5.8,Yes,0.081,No,8.39,1997,No,2886.243,0.14
308,7.9,Yes,0,No,6.16,2009,Yes,487.3656,0.183
309,5,Yes,0.044,Yes,9.44,1997,No,5502.837,0.348
310,7.4,Yes,0,No,3.84,1997,No,2181.8266,0.297
311,20.9,Yes,0.121,No,9.7,1997,No,1565.9616,0.329
312,20.9,Yes,0,No,5.76,2009,Yes,1054.6272,0.526
313,19.2,Yes,0.1,No,5.65,1999,Yes,1667.829,0.045
314,17.4,Yes,0.167,No,8.78,1997,No,2812.3392,0.022
315,14.3,No,0.034,No,4.91,2004,No,489.363,0.932
316,6.7,Yes,0.042,No,4.54,2004,No,1665.8316,0.137
317,7,Yes,0.041,No,4.17,1997,No,1555.9746,0.852
318,14.8,Yes,0.019,No,9.82,1987,Yes,1950.794,0.353
319,12.3,No,0,No,2.87,1987,Yes,177.7686,0.519
320,15.1,No,0.106,No,2.14,2004,No,949.4308,0.604
321,10.1,Yes,0.047,Yes,3,1987,Yes,484.7024,0.816
322,16,No,0.065,No,3.98,1987,Yes,934.7832,0.196
323,8.1,No,0.135,No,1.97,1999,Yes,878.856,0.176
324,20.6,Yes,0.083,No,6.01,1999,Yes,1332.9316,0.279
325,20.4,Yes,0.039,No,6.4,2009,Yes,3560.6984,0.505
326,8.2,Yes,0,No,4.66,2009,Yes,647.8234,0.609
327,7.5,Yes,0.148,No,12.03,2004,No,1691.7978,0.183
328,19,No,0.066,No,9.44,2009,No,1695.7926,0.26
329,12.6,No,0.042,No,6.2,1999,No,4042.7376,0.37
330,7.9,No,0.095,No,5.13,2004,No,1640.5312,0.401
331,8.4,Yes,0.188,No,7.43,2009,Yes,2207.127,0.552
332,18.5,Yes,0.052,No,5.92,1987,Yes,2370.248,0.573
333,10.1,No,0.054,No,11.22,1997,No,4697.8848,0.679
334,9.3,No,0.021,No,7.93,1987,Yes,2406.867,0.431
335,11.6,No,0.144,No,11.92,1997,No,5736.5328,0.948
336,12.5,Yes,0.081,No,11.04,2009,Yes,6611.394,0.611
337,14.2,Yes,0.042,No,2.58,2009,Yes,1262.3568,0.819
338,20.2,Yes,0.075,No,4.71,2009,Yes,1758.3778,0.762
339,5.7,Yes,0.175,Yes,7.37,1999,Yes,2478.7734,0.626
340,20.8,No,0.084,No,9.11,2004,No,3067.3406,0.745
341,5.2,No,0.029,No,5.27,1987,Yes,3281.7282,0.177
342,18.4,Yes,0.033,No,7.75,2009,Yes,1990.742,0.123
343,12.8,Yes,0.076,No,4.76,1997,No,868.869,0.592
344,19.8,Yes,0.014,No,5.15,1997,No,1230.3984,0.264
345,8.8,No,0.075,No,9.38,2009,No,938.778,0.163
346,13.3,Yes,0.08,No,11.7,2009,Yes,4194.54,0.94
347,18.9,Yes,0.167,No,9.73,1987,Yes,1166.4816,0.639
348,9.7,No,0.03,No,11.15,1999,No,5764.4964,0.988
349,20.7,Yes,0.049,No,1.88,2004,No,113.8518,0.752
350,9,No,0.053,No,4.17,1987,Yes,3579.3408,0.58
351,12.2,Yes,0.018,No,12.66,2009,Yes,1522.0188,0.185
352,7.7,Yes,0.185,No,1.77,1987,Yes,450.0808,0.264
353,13.8,No,0.064,No,3.85,1987,Yes,607.2096,0.232
354,4.8,Yes,0.093,No,6.01,1987,Yes,1325.6078,0.446
355,20,No,0.104,No,5.27,1999,Yes,1270.3464,0.258
356,8.4,Yes,0.072,Yes,12.71,2009,Yes,3542.056,0.725
357,6.2,No,0.18,No,4.76,2009,No,1534.0032,0.826
358,8.2,Yes,0.045,No,4.46,1999,Yes,1308.297,0.563
359,19.6,Yes,0.041,No,4.48,2009,Yes,1239.7196,0.879
360,7.5,Yes,0.036,No,8.77,1997,No,3896.2616,0.419
361,5.8,No,0.105,No,10.72,2009,Yes,1496.0526,0.392
362,11.4,Yes,0,No,7.58,1987,Yes,3460.8284,0.762
363,7.2,No,0.06,No,6.61,2009,No,2870.9296,0.11
364,7.8,Yes,0.059,No,4.99,2004,No,798.96,0.796
365,10.8,Yes,0.099,No,4.92,1999,Yes,1488.063,0.957
366,11.1,Yes,0.111,No,9.46,1999,Yes,5159.2842,0.375
367,12.8,No,0.024,No,11.34,1999,No,4500.808,0.223
368,20.6,No,0.048,No,9.3,2004,No,4318.3788,0.06
369,16.9,Yes,0.044,No,9.29,1987,Yes,1659.8394,0.667
370,12.6,Yes,0.007,No,9.34,1987,Yes,2816.334,0.204
371,5.3,Yes,0.093,No,5.07,1999,Yes,2954.1546,0.003
372,13,No,0.083,No,9.97,2004,No,593.2278,0.469
373,19.9,Yes,0.026,No,2.32,2004,No,1150.5024,0.584
374,14.6,Yes,0.059,No,9.09,2004,No,3259.7568,0.035
375,7.6,Yes,0.027,No,7.64,1999,Yes,2756.412,0.283
376,13.8,Yes,0.013,No,5.35,1997,No,2930.1858,0.987
377,10.1,Yes,0.03,No,7.66,1997,No,1544.656,0.429
378,14.3,No,0.05,No,10.63,1987,Yes,3165.879,0.28
379,9.8,Yes,0.047,No,5.03,1997,No,1619.2256,0.948
380,11.3,Yes,0.067,No,9.72,1997,No,387.4956,0.043
381,10.4,Yes,0.031,No,8,1999,Yes,1267.6832,0.185
382,20.7,Yes,0.043,No,8.79,1997,No,1593.9252,0.984
383,17.4,No,0.147,No,7.48,2009,No,3745.125,0.51
384,16.4,Yes,0.013,No,5.24,2009,Yes,1810.976,0.155
385,19.4,Yes,0.026,No,8.35,1997,No,2358.2636,0.078
386,14.3,Yes,0.026,No,3.91,2009,Yes,554.6114,0.804
387,20,No,0,No,6.37,1997,No,1780.3492,0.291
388,8.2,No,0.083,No,2.85,1999,Yes,744.3644,0.496
389,19.5,Yes,0.083,No,8.99,1997,No,716.4008,0.191
390,18.7,Yes,0.089,No,12.74,1997,No,5113.344,0.79
391,16,No,0.018,No,2.28,1987,Yes,1039.9796,0.768
392,8.4,Yes,0.072,Yes,12.69,1999,Yes,4554.072,0.675
393,5,Yes,0.009,No,6.13,2004,No,2665.8632,0.76
394,7.3,Yes,0.031,No,8.68,2004,No,2626.581,0.458
395,20.4,Yes,0,No,6.05,1999,Yes,1470.0864,0.958
396,18.3,Yes,0.015,No,9.95,1997,No,3174.5344,0.43
397,20.4,Yes,0.039,No,6.38,1999,Yes,2924.8594,0.563
398,16.8,No,0.009,No,3.62,1999,No,960.7494,0.64
399,18.5,No,0,No,7.21,2004,No,2041.3428,0.796
400,15,No,0.054,No,2.93,2004,No,996.0368,0.514
401,19.5,No,0.027,No,7.95,1997,No,1757.712,0.556
402,13.2,No,0.165,No,8.53,2004,No,3435.528,0.409
